"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","71540","gaussian","127.0.0.1","Fan1NewNew(float *, float *, float *, int, int)","1","7","(128, 1, 1)","(32, 1, 1)","0","7.5","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum","sector","4,918"
"1","71540","gaussian","127.0.0.1","Fan2NewNew(float *, float *, int, int)","1","7","(128, 1, 1)","(32, 4095, 1)","0","7.5","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum","sector","4,717,440"
"2","71540","gaussian","127.0.0.1","Fan1NewNew(float *, float *, float *, int, int)","1","7","(128, 1, 1)","(32, 1, 1)","0","7.5","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum","sector","4,932"
"3","71540","gaussian","127.0.0.1","Fan2NewNew(float *, float *, int, int)","1","7","(128, 1, 1)","(32, 4094, 1)","0","7.5","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum","sector","5,568,912"
"4","71540","gaussian","127.0.0.1","Fan1NewNew(float *, float *, float *, int, int)","1","7","(128, 1, 1)","(32, 1, 1)","0","7.5","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum","sector","4,900"
"5","71540","gaussian","127.0.0.1","Fan2NewNew(float *, float *, int, int)","1","7","(128, 1, 1)","(32, 4093, 1)","0","7.5","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum","sector","5,566,791"
"6","71540","gaussian","127.0.0.1","Fan1NewNew(float *, float *, float *, int, int)","1","7","(128, 1, 1)","(32, 1, 1)","0","7.5","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum","sector","4,901"
"7","71540","gaussian","127.0.0.1","Fan2NewNew(float *, float *, int, int)","1","7","(128, 1, 1)","(32, 4092, 1)","0","7.5","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum","sector","5,565,750"
"8","71540","gaussian","127.0.0.1","Fan1NewNew(float *, float *, float *, int, int)","1","7","(128, 1, 1)","(32, 1, 1)","0","7.5","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum","sector","4,898"
"9","71540","gaussian","127.0.0.1","Fan2NewNew(float *, float *, int, int)","1","7","(128, 1, 1)","(32, 4091, 1)","0","7.5","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum","sector","5,565,185"
"10","71540","gaussian","127.0.0.1","Fan1NewNew(float *, float *, float *, int, int)","1","7","(128, 1, 1)","(32, 1, 1)","0","7.5","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum","sector","4,897"
"11","71540","gaussian","127.0.0.1","Fan2NewNew(float *, float *, int, int)","1","7","(128, 1, 1)","(32, 4090, 1)","0","7.5","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum","sector","5,563,133"
"12","71540","gaussian","127.0.0.1","Fan1NewNew(float *, float *, float *, int, int)","1","7","(128, 1, 1)","(32, 1, 1)","0","7.5","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_global_op_ld.sum","sector","4,896"
