"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","110981","gaussian","127.0.0.1","Fan1(float *, float *, int, int)","1","7","(512, 1, 1)","(8, 1, 1)","0","7.5","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_global_op_st.sum","sector","4,095"
"1","110981","gaussian","127.0.0.1","Fan2(float *, float *, float *, int, int, int)","1","7","(4, 4, 1)","(1024, 1024, 1)","0","7.5","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_global_op_st.sum","sector","4,194,815"
"2","110981","gaussian","127.0.0.1","Fan1(float *, float *, int, int)","1","7","(512, 1, 1)","(8, 1, 1)","0","7.5","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_global_op_st.sum","sector","4,094"
"3","110981","gaussian","127.0.0.1","Fan2(float *, float *, float *, int, int, int)","1","7","(4, 4, 1)","(1024, 1024, 1)","0","7.5","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_global_op_st.sum","sector","6,285,825"
"4","110981","gaussian","127.0.0.1","Fan1(float *, float *, int, int)","1","7","(512, 1, 1)","(8, 1, 1)","0","7.5","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_global_op_st.sum","sector","4,093"
"5","110981","gaussian","127.0.0.1","Fan2(float *, float *, float *, int, int, int)","1","7","(4, 4, 1)","(1024, 1024, 1)","0","7.5","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_global_op_st.sum","sector","6,284,290"
"6","110981","gaussian","127.0.0.1","Fan1(float *, float *, int, int)","1","7","(512, 1, 1)","(8, 1, 1)","0","7.5","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_global_op_st.sum","sector","4,092"
"7","110981","gaussian","127.0.0.1","Fan2(float *, float *, float *, int, int, int)","1","7","(4, 4, 1)","(1024, 1024, 1)","0","7.5","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_global_op_st.sum","sector","6,282,243"
"8","110981","gaussian","127.0.0.1","Fan1(float *, float *, int, int)","1","7","(512, 1, 1)","(8, 1, 1)","0","7.5","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_global_op_st.sum","sector","4,091"
"9","110981","gaussian","127.0.0.1","Fan2(float *, float *, float *, int, int, int)","1","7","(4, 4, 1)","(1024, 1024, 1)","0","7.5","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_global_op_st.sum","sector","4,186,627"
"10","110981","gaussian","127.0.0.1","Fan1(float *, float *, int, int)","1","7","(512, 1, 1)","(8, 1, 1)","0","7.5","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_global_op_st.sum","sector","4,090"
"11","110981","gaussian","127.0.0.1","Fan2(float *, float *, float *, int, int, int)","1","7","(4, 4, 1)","(1024, 1024, 1)","0","7.5","Command line profiler metrics","l1tex__t_sectors_pipe_lsu_mem_global_op_st.sum","sector","6,275,594"
